Kod_PT,Bahagian_ID,Negeri_Rkod,keterangan,alamat1,alamat2,alamat3,alamat4,telefon,fax,email,data_mark,status
101199,1,10,PEJABAT KETUA PENGARAH,Ibu Pejabat Risda,Jalan Ampang,50090,Kuala Lumpur,,,,,1
102199,1,10,BHG. PENGURUSAN SUMBER MANUSIA,,,,,,,,07042017,1
103199,1,10,BAHAGIAN PENTADBIRAN,,,,,,,,10032017,1
104199,1,10,BHG. KEWANGAN  & BELANJAWAN,,,,,,,,10032017,1
105199,1,10,BHG. DASAR & PERANCANGAN STRATEGIK,,,,,,,,10032017,1
106199,1,10,BAHAGIAN BEKALAN INPUT PERTANIAN,,,,,,,,10032017,1
107199,1,10,BAHAGIAN TANAM SEMULA & PELADANGAN,"Ibu Pejabat RISDA, ",Jalan Ampang, 5009,Kuala Lumpur,0342564022,0342518767,btsp@risda.gov.my,,1
108199,1,10,BHG. PENGEMBANGAN & PEMINDAHAN TEKNOLOGI,,,,,,,,10032017,1
109199,1,10,BAHAGIAN PEMBANGUNAN USAHAWAN,,,,,,,,10032017,1
111199,1,10,BHG.INSPEKTORAT & AUDIT DALAM,,,,,,,,10032017,1
112199,1,10,BAHAGIAN TEKNOLOGI MAKLUMAT,"Ibu Pejabat RISDA, Jalan Ampang ",,50090,Kuala Lumpur ,0342564022,,btm@risda.gov.my,,1
113199,1,10,BAHAGIAN LATIHAN,,,,,,,,10032017,1
114199,1,10,BAHAGIAN PRODUKTIVITI DAN PEMASARAN,,,,,,,,10032017,1
115199,1,10,BAHAGIAN PROGRAM KHAS,,,,,,,,10032017,1
116199,1,10,BHG. PELABURAN & PEMBANGUNAN SYARIKAT,,,,,,,,10032017,1
117199,1,10,BAHAGIAN KOMUNIKASI KORPORAT,,,,,,,,10032017,1
118199,1,10,BAHAGIAN KHIDMAT KEJURUTERAAN,,,,,,,,10032017,1
220199,2,20,PEJABAT PRN - PERLIS,No. 64-G,Jalan Raja Syed Alwi,01990 Kangar,Perlis,04-9762544,04-9767171,rispris@risdagov.my,,1
221199,2,21,PEJABAT PRN - KEDAH,TKT 5&6 Bangunan RISDA,Jalan Telok WAN JAH,05990,ALOR SETAR KEDAH,047331511,047331520,riskdh@risda.gov.my,,1
222199,2,22,PEJABAT PRN - PULAU PINANG,"NO 532, BAGAN LEBAI TAHER",,12990,BUTTERWORTH,043235895,043325231,rispng@risda.gov.my,,1
223199,2,23,PEJABAT PRN - PERAK,,Jln Sultan Azlan Shah Utara,31000 Ipoh,Perak,05-5453694,05-5457329,,,1
224199,2,24,PEJABAT PRN - SELANGOR,"NO.2, JLN SULTAN SALAHUDDIN ABDUL AZIZ SHAH 9/6","SEKSYEN 9, SHAH ALAM",40100,SELANGOR,0355183900,0355183905,rissgor@risda.gov.my,,1
225199,2,25,PEJABAT PRN - NEGERI SEMBILAN,Lot. 999,Jalan Mufti Ahmad, Medan Rahang,70100 Seremban,067625166,067634666,risns@risda.gov.my,,1
226199,2,26,PEJABAT PRN - MELAKA ,"Jalan Tun Sri Lanang,",Melaka,75100,,062834611,062830003,rismlk@risda.gov.my,,1
227199,2,27,PEJABAT PRN - JOHOR,PTB 12328, Jalan Padi Murni,Bandar Baru UDA, Karung Berkunci 797,07-2394505,072394501,risjhr@risda.gov.my,,1
228199,2,28,PEJABAT PRN - PAHANG,Tingkat 1, Blok A, Lot 7876,Jalan Haji Junid,25200 Kuantan,Pahang,,,1
229199,2,29,PEJABAT PRN - TERENGGANU,,Jalan Sultan Ismail,20700 Kuala Terengganu,Terengganu,09-6222117,09-6222766,,,1
230199,2,30,PEJABAT PRN - KELANTAN,Batu 2 ,Jalan Kuala Krai,15050 Kota Bharu,Kelantan,09-7483135,09-7483118,,,1
240199,2,40,PEJABAT PRN - SARAWAK,"No 19C, Lot 499, Ting 2","Al Idrus commercial Centre, JJln Kulas",93400,"Kucing, Sarawak",082423305,082423315,prnsarawak@risda.gov.my,,1
250199,2,50,PEJABAT PRN - SABAH,"No.162, Blok S,Lorong Plaza","Taman Alamesra,Jalan Sulaman",88400,Kota Kinabalu,088-485535,088-485537,"prnsabah@risda.gov.,y",,1
421199,4,21,PEJABAT PRD - BALING,,Jalan Mahmud,09100 Baling,Kedah,04-4701264,04-4701912,,,1
421299,4,21,PEJABAT PRD - KULIM/BANDAR BAHARU,"LOT 541,JALAN ASAAD","09000 KULIM, KEDAH ",0900,,044927635,044901021,riskdhsltn@risda.gov.my,,1
421399,4,21,PEJABAT PRD - KUALA MUDA /YAN /PENDANG,"NO 127A,JALAN SEKERAT","08000 SUNGAI PETANI, KEDAH",08000,,044218811,044228811,riskdhtgh@risda.gov.my,,1
421499,4,21,PEJABAT PRD - SIK,JALAN TUNKU IBRAHIM,"08200 SIK, KEDAH",08200,,044695237,044693931,rissik@risda.gov.my,,1
421599,4,21,PEJABAT PRD - KOTA SETAR /KUBANG PASU /POKOK SENA /LANGKAWI,TINGKAT 3 & 4 BANGUNAN RISDA,"JALAN TELOK WANJAH,05200 ALOR SETAR, KEDAH",05200,,047331725,047331355,riskdhutr@risda.gov.my,,1
421699,4,21,PEJABAT PRD - PADANG TERAP,JALAN PEGAWAI,"06300, KUALA NERANG",06300,KEDAH DARUL AMAN,047901110,047866077,rispdgterap@risda.gov.my,,1
423199,4,23,PEJABAT PRD - PERAK HULU,Lot PT 794,Batu 1 Jalan Intan,33300 Gerik,Perak,05-7912208,05-7912266,,,1
423299,4,23,PEJABAT PRD - MANJUNG,No. 47,Jalan Dato Ahmad Yunus,32000 Sitiawan,Perak,05-6911316,05-6911317,,,1
423399,4,23,PEJABAT PRD - PERAK TENGAH/KINTA,"Lot 10, Mukim Bota","32600, Seri Iskandar,Bandar Seri Iskandar",32600,Perak,05-3712006,05-3712137,,,1
423499,4,23,PEJABAT PRD - BATANG PADANG/ PERAK HILIR,No. 30,Jalan Raja,35000 Tapah,Perak,05-4011004,05-4012764,,,1
423599,4,23,PEJABAT PRD - LARUT MATANG/ SELAMA/ KERIAN,No. 3 ,Jalan Kota,34000 Taiping,Perak,05-8072011,05-6919000,,,1
423699,4,23,PEJABAT PRD - KUALA  KANGSAR,No. 48 B,Jalan Dato Sagor,33000 Kuala Kangsar,Perak,05-7731000,05-7769794,,,1
424199,4,24,PEJABAT PRD - HULU SELANGOR/ GOMBAK/ PETALING,JALAN KOLAM AIR ,KUALA KUBU BARU ,44000,SELANGOR,0360641196,0360641712,rissgorhulu@risda.gov.my,,1
425199,4,25,PEJABAT PRD - KUALA PILAH,Jalan Sawah Lebar, Peti Surat 147,72007 Kuala Pilah,Negeri Sembila,064815264,064812642,risnst@risda.gov.my,,1
425299,4,25,PEJABAT PRD - NS BARAT,Lot. 999 ,Jalan Mufti Ahmad, Medan Rahang,70100 Seremban,067625166,067634493,risnsb@risda.gov.my,,1
425399,4,25,PEJABAT PRD - NS SELATAN,Batu 1, Jalan Tampin/Seremban,73000 Tampin,Negeri Sembilan,064415418,064414100,ristampin@risda.gov.my,,1
425499,4,25,PEJABAT PRD - JEMPOL,"LOT 4671, JALAN BESAR ",BATU KIKIR,72200,"BATU KIKIR, NEGERI SEMBILAN",064983827,,,,1
427199,4,27,PEJABAT PRD - SEGAMAT,No. 75,Jalan Buluh Kasap,85000 Segamat,Johor,07-9312300,07-9316300,risjsegt@risda.go.my,,1
427299,4,27,PEJABAT PRD - MUAR / TANGKAK,No. 12,Jalan Khalidi,84409 Muar,Johor,06-9523093,06-9523189,,,1
427399,4,27,PEJABAT PRD - BATU PAHAT,No. 10-4 & 10-6,Jalan Kluang,83009 Batu Pahat,Johor,07-4341800,07-4341822,,,1
427599,4,27,PEJABAT PRD - PONTIAN,Kompleks Johor Barat,Jalan Parit Mesjid,82000 Pontian,Johor,07-6871489,07-6873889,,,1
427699,4,27,PEJABAT PRD -  KLUANG,No. 10,Jalan Pejabat Mersing,86009 Kluang, Johor,07-7722003,07-7724327,,,1
427799,4,27,PEJABAT PRD - KOTA TINGGI /JOHOR BAHRU /KULAI JAYA,No. 54B,Jalan Kebun The,80990 Johor Bahru,Johor,07-2230753,07-2230754,,,1
427899,4,27,PEJABAT PRD - MERSING,"NO 3, JALAN JEMALUANG,",BANDAR TEPIAN SUNGAI,86800,"MERSING, JOHOR DT",077997500,,,,1
428199,4,28,PEJABAT PRD - JERANTUT,Tingkat 1 Blok A Lot 7876 ,Jalan Haji Junid,25200,Pahang,092662237,092661201,,,1
428299,4,28,PEJABAT PRD - TEMERLOH,,Jalan Bahagia,28000 Temerloh,Pahang,09-2961900,09-2961303,,,1
