Stesen_kod,U_Negeri_ID,keterangan,Kod_PT,status
827199,01,Semua Johor,227199,1
827101,01,PRS - Buluh Kasap,427199,1
827102,01,PRS - Tengah,427199,1
827103,01,PRS - Jementah,427199,1
827104,01,PRS - Labis,427199,1
827201,01,PRS - Sg. Sudah/Parit Jawa,427299,1
827202,01,PRS - Sg Mati,427299,0
827203,01,PRS - Bukit Gambir,427299,1
827204,01,PRS - Bukit Serampang,427299,0
827205,01,PRS - Pagoh,427299,1
827206,01,PRS  - Tangkak,427299,1
827207,01,PRS - Lenga,427299,1
827301,01,PRS - Yong Peng,427399,1
827302,01,PRS -  Parit Raja,427399,1
827303,01,PRS -  Sri Medan,427399,1
827304,01,PRS - Parit Sulong,427399,0
827305,01,PRS - Tongkang Pecah/Yaani,427399,0
827501,01,PRS - Benut,427599,0
827502,01,PRS- Air Baloi,427599,0
827503,01,PRS - Permas,427599,0
827504,01,PRS - Pekan Nanas,427599,0
827599,01,PRD - Pontian (Tiada Stesen),427599,1
827601,01,PRS - Sri Lalang,427699,1
827602,01,PRS - Simpang Renggam,427699,1
827603,01,PRS - Kahang,427699,1
827701,01,PRS - Kota Tinggi,427799,1
827702,01,PRS - Kulai,427799,1
827703,01,PRS - Penawar,427799,1
827801,01,PRS - Mersing,427899,1
827802,01,PRS - Endau,427899,1
821199,02,Semua Kedah,221199,1
821101,02,PRS - Baling,421199,1
821102,02,PRS - Tawar,421199,0
821103,02,PRS - Kuala Ketil /Tawar,421199,1
821104,02,PRS - Kampong Lalang,421199,1
821201,02,PRS - Kulim /Bandar Baharu,421299,1
821202,02,PRS - Bandar Bharu,421299,0
821301,02,PRS - Kuala Muda /Yan,421399,1
821302,02,PRS - Pendang ,421399,1
821401,02,PRS - Jeniang,421499,1
821402,02,PRS - Sik,421499,1
821501,02,PRS - Langkawi,421599,1
821503,02,PRS - Changloon,421599,0
821504,02,PRS - Kubor Panjang,421599,0
821505,02,PRS - Pendang ,421599,0
821506,02,PRS - Pokok Sena,421599,1
821507,02,PRS - Kubang Pasu,421599,1
821601,02,PRS - Naka,421699,1
821602,02,PRS - Kuala Nerang,421699,1
821603,02,PRS - Pedu,421699,0
830199,03,Semua Kelantan,230199,1
830201,03,PRS - Tanah Merah,430299,1
830202,03,PRS - Batu Gajah,430299,1
